feature,importance
card2,5.6719113678322595
card1,5.38861694375599
TransactionDT,4.775862880249897
addr1,4.636793006898623
TransactionAmt,3.9679654577603305
C13,3.8271212616452317
C5,2.7337088131597236
C14,2.280950322631327
card5,2.2326693752724243
D15,2.2268746817089378
D1,2.1287369792108235
C1,2.122062375889255
dist1,2.1187136841107885
P_emaildomain,1.9716136017251116
D2,1.8579119328080766
D4,1.8469767626974223
C6,1.544626907230978
C2,1.5414334868108188
D10,1.4664008278382497
card6,1.3590749265692272
id_20,1.3330887935572349
M5,1.2963560699516716
R_emaildomain,1.2542481646713635
C11,1.2492226977396572
C9,1.1949291159510627
D11,1.0752834743548518
id_31,1.0104417244498476
id_19,0.9843933719488281
V310,0.9067324710669529
card3,0.9013648434921067
id_02,0.8948161435971204
ProductCD,0.8796514757280538
M4,0.7792169469296742
C10,0.7789969196283574
DeviceInfo,0.7692161209937295
M6,0.75869877423937
V315,0.7231005221434433
V313,0.7224259872378098
V294,0.6863298474076025
C12,0.6586661118998868
C8,0.6507790332790337
V82,0.6422979805699496
V283,0.5886685468537416
id_01,0.5430871967472247
V317,0.5378533019973486
id_05,0.5290289551656868
card4,0.5173286615842662
V314,0.5132985223744281
V83,0.5070291659979909
V307,0.505666565971307
id_06,0.4950292901830552
V285,0.4940582040837549
V54,0.4915904441797951
D3,0.49051113345443254
C4,0.4741247708004511
id_17,0.4636550451248227
V61,0.4572961154905767
V19,0.4319161214646677
V62,0.4256227865123246
V282,0.40041695575409786
V306,0.3994679886381277
V312,0.3992628487637336
id_13,0.3989734911485078
V20,0.39760864841769183
V76,0.3843959679643601
V130,0.3788349053332101
V67,0.36916776494144493
V87,0.3689292850712912
V281,0.36432247598754475
V53,0.35871584145617835
DeviceType,0.3576679424656057
V45,0.33221275521632015
V320,0.3135671517793706
V131,0.3018935260407048
D5,0.2976245583876501
V133,0.29551962069104803
M3,0.29314758382770195
V309,0.28013644888450134
V136,0.27584915853409114
V280,0.269276407332023
V201,0.2672969816821459
V318,0.2661362113250432
V74,0.2632647717923011
V258,0.25946688444869487
V296,0.2570849274232627
V78,0.25531191493614763
C7,0.2492196560777422
V12,0.23636640698023648
V56,0.2304398122229576
V75,0.2303461884218602
V5,0.2208615478770854
V291,0.21344997642604854
V321,0.2107867777366405
V36,0.2028384166891229
V44,0.20027754962120686
V209,0.19980832061646858
V203,0.1941861290664018
V38,0.19262023651227356
V261,0.19004777787821395
V242,0.1800800390192291
M9,0.17718513266537808
V52,0.17527430680615824
V308,0.1680963997390313
V13,0.15061769366860073
V99,0.1483836183157124
V298,0.14529337252620042
V86,0.141881313248693
V289,0.1385032392946453
V96,0.13760735498661597
V189,0.13697388152326417
V35,0.12528114832069473
V102,0.12335623800790713
V316,0.12004547312543978
V126,0.10776561546899863
V127,0.10231883364193362
M2,0.10017255467683957
V187,0.09927811718656833
M8,0.09405274131118942
V128,0.08149146994814128
V231,0.08130537173128334
V259,0.07955700998616554
V132,0.07591846095472858
V188,0.07294398429827537
V265,0.0685933990615735
V292,0.06631308540696933
V274,0.06357242865650684
V245,0.062007861751334575
V264,0.06140396849930699
V200,0.06061633847295683
V232,0.05975885800528186
V244,0.05642357144638078
V218,0.055215918564492754
V279,0.05290633738479604
V204,0.049403859776073505
V287,0.048826830069479625
V243,0.04417815678080328
V97,0.04264370565451383
V134,0.03955446177848886
V212,0.03824742535457858
V257,0.03719482289917963
V273,0.03357414761884306
V233,0.03180462995801098
V246,0.03129374093475525
V295,0.027676273711387676
V293,0.02615002911863362
V275,0.025871370799733968
V190,0.019599644662507344
V186,0.018750772910215624
V103,0.015402929990801421
V199,0.006783231282633216
