feature,importance
V134,0.7269790341081868
id_17,0.22446557053656488
V317,0.02675873768263842
V188,0.01975371686879312
V5,0.001163644566748724
V62,0.0006404924008564984
V38,0.0002244648107452566
V186,4.278008454818263e-06
V190,3.0129020165232145e-06
V218,2.0393125022972695e-06
D3,1.474765018349097e-06
card1,1.0669103951290518e-06
card3,8.473248432050431e-07
V126,7.969291021291824e-07
D1,5.709290251810197e-07
V246,1.1990946379993583e-07
V53,7.533042498223849e-08
V259,5.670421976581806e-08
TransactionAmt,0.0
card2,0.0
addr1,0.0
TransactionDT,0.0
V200,0.0
V257,0.0
V243,0.0
V258,0.0
C12,0.0
C6,0.0
C2,0.0
dist1,0.0
D15,0.0
id_02,0.0
C11,0.0
card5,0.0
V201,0.0
P_emaildomain,0.0
C14,0.0
C13,0.0
C1,0.0
D11,0.0
V308,0.0
card4,0.0
DeviceInfo,0.0
V127,0.0
D5,0.0
C7,0.0
C4,0.0
C8,0.0
V310,0.0
id_19,0.0
id_20,0.0
V45,0.0
D2,0.0
D4,0.0
R_emaildomain,0.0
V315,0.0
id_01,0.0
V86,0.0
V313,0.0
V242,0.0
id_05,0.0
C9,0.0
V312,0.0
V44,0.0
V318,0.0
V130,0.0
V128,0.0
V87,0.0
V314,0.0
V274,0.0
V245,0.0
V306,0.0
id_06,0.0
V294,0.0
id_13,0.0
V133,0.0
M4,0.0
V189,0.0
V244,0.0
card6,0.0
V283,0.0
C10,0.0
V187,0.0
D10,0.0
id_31,0.0
V307,0.0
V131,0.0
V96,0.0
V54,0.0
V282,0.0
V83,0.0
V199,0.0
V285,0.0
M6,0.0
V295,0.0
V20,0.0
V320,0.0
V99,0.0
V61,0.0
V13,0.0
M5,0.0
V280,0.0
V316,0.0
V36,0.0
V12,0.0
V82,0.0
V102,0.0
V309,0.0
C5,0.0
V75,0.0
V212,0.0
V19,0.0
V264,0.0
V78,0.0
V132,0.0
DeviceType,0.0
V76,0.0
V291,0.0
M8,0.0
V281,0.0
V231,0.0
ProductCD,0.0
V35,0.0
V136,0.0
V67,0.0
M3,0.0
V97,0.0
V296,0.0
V103,0.0
V265,0.0
V203,0.0
V279,0.0
V52,0.0
V275,0.0
M9,0.0
V204,0.0
V289,0.0
V56,0.0
V233,0.0
V292,0.0
V287,0.0
V232,0.0
V293,0.0
V273,0.0
M2,0.0
V321,0.0
V298,0.0
V74,0.0
V261,0.0
V209,0.0
